chrom	start	end	gene	score	strand	interval
chr2	24202863	24360714	ENSG00000198399	0	-	157851
chr10	11453945	11611754	ENSG00000148429	0	-	157809
chr11	58023880	58181616	ENSG00000186509	0	+	157736
chr2	98997260	99154964	ENSG00000135951	0	-	157704
chr5	143277930	143435512	ENSG00000113580	0	-	157582
chr1	244969704	245127164	ENSG00000203666	0	+	157460
chr16	10326433	10483638	ENSG00000166669	0	+	157205
chr8	17643794	17800917	ENSG00000129422	0	-	157123
chr4	112285508	112442620	ENSG00000073331	0	+	157112
chr12	62260337	62417431	ENSG00000135655	0	+	157094
chr12	47079602	47236662	ENSG00000179715	0	+	157060
chr7	105876795	106033773	ENSG00000128536	0	+	156978
chr9	114155559	114312511	ENSG00000196739	0	+	156952
chr13	28138505	28295335	ENSG00000152520	0	+	156830
chr6	83552879	83709691	ENSG00000065609	0	-	156812
chr17	8474204	8630761	ENSG00000133026	0	-	156557
chr5	140855882	141012344	ENSG00000250120	0	+	156462
chr6	12008761	12164999	ENSG00000095951	0	+	156238
chr12	104802552	104958744	ENSG00000136052	0	-	156192
chr2	221418026	221574202	ENSG00000116106	0	-	156176
chr5	65926474	66082549	ENSG00000112851	0	+	156075
chr10	124461833	124617888	ENSG00000107902	0	+	156055
chr1	162631372	162787400	ENSG00000162733	0	+	156028
chr9	129887186	130043194	ENSG00000187239	0	-	156008
chr15	56087279	56243266	ENSG00000181827	0	-	155987
chr1	11106534	11262507	ENSG00000198793	0	-	155973
chr14	87837819	87993665	ENSG00000054983	0	-	155846
chr1	50048013	50203786	ENSG00000162374	0	+	155773
chr14	35121845	35277614	ENSG00000100890	0	+	155769
chr16	3725053	3880726	ENSG00000005339	0	-	155673
chr2	233617644	233773310	ENSG00000242366	0	+	155666
chr7	140518419	140673993	ENSG00000146966	0	-	155574
chr3	35638944	35794496	ENSG00000172995	0	+	155552
chr5	161547062	161702593	ENSG00000145863	0	+	155531
chr4	105552619	105708093	ENSG00000236699	0	+	155474
chr5	131641713	131797063	ENSG00000217128	0	-	155350
chr4	173168752	173323967	ENSG00000109586	0	+	155215
chrX	19360055	19515261	ENSG00000180815	0	-	155206
chr11	35662804	35818007	ENSG00000166326	0	+	155203
chr7	92246233	92401384	ENSG00000001629	0	+	155151
chr8	28600468	28755599	ENSG00000012232	0	+	155131
chr9	79571772	79726882	ENSG00000106829	0	+	155110
chr4	39822862	39977956	ENSG00000121892	0	-	155094
chr15	24823636	24978723	ENSG00000128739	0	+	155087
chrX	75368426	75523502	ENSG00000102383	0	-	155076
chr6	35573584	35728583	ENSG00000096060	0	-	154999
chr12	21264599	21419594	ENSG00000084453	0	-	154995
chr2	95836918	95991831	ENSG00000174501	0	-	154913
chr1	165201866	165356715	ENSG00000162761	0	-	154849
chr13	113977782	114132611	ENSG00000185989	0	-	154829
chr3	113286946	113441610	ENSG00000206530	0	-	154664
chr14	26443092	26597754	ENSG00000139910	0	-	154662
chr17	28041736	28196381	ENSG00000087095	0	+	154645
chrX	53532095	53686729	ENSG00000086758	0	-	154634
chr6	7726796	7881422	ENSG00000153162	0	+	154626
chr11	68460730	68615334	ENSG00000110075	0	+	154604
chr15	81159574	81314058	ENSG00000172349	0	+	154484
chr2	190189734	190344193	ENSG00000198130	0	-	154459
chr14	100376417	100530303	ENSG00000176473	0	+	153886
chr16	15703171	15857033	ENSG00000133392	0	-	153862
chr11	12377184	12530801	ENSG00000197702	0	+	153617
chrX	65588376	65741931	ENSG00000147065	0	+	153555
chr12	94306448	94459988	ENSG00000173588	0	-	153540
chr10	67921898	68075348	ENSG00000148634	0	-	153450
chr3	112140886	112294258	ENSG00000172139	0	-	153372
chr4	110045845	110199199	ENSG00000170522	0	-	153354
chr2	75046462	75199700	ENSG00000115353	0	-	153238
chr9	132725577	132878777	ENSG00000165695	0	-	153200
chr10	6427142	6580301	ENSG00000065675	0	-	153159
chr14	51826194	51979342	ENSG00000186469	0	+	153148
chr1	35268966	35422058	ENSG00000146463	0	+	153092
chr11	120336913	120489936	ENSG00000196914	0	+	153023
chr9	113444730	113597743	ENSG00000138835	0	+	153013
chr1	15247271	15400283	ENSG00000142621	0	+	153012
chr5	131245492	131398447	ENSG00000158985	0	+	152955
chr1	63440769	63593721	ENSG00000142856	0	-	152952
chr5	141360041	141512979	ENSG00000253910	0	+	152938
chr11	77321706	77474635	ENSG00000149269	0	-	152929
chr2	108534354	108687246	ENSG00000169756	0	+	152892
chr5	147234962	147387852	ENSG00000169302	0	+	152890
chr5	122311353	122464219	ENSG00000064692	0	+	152866
chrX	150361421	150514178	ENSG00000013619	0	+	152757
chr2	212999690	213152427	ENSG00000030419	0	-	152737
chr12	106357657	106510198	ENSG00000013503	0	+	152541
chr14	103561895	103714249	ENSG00000126214	0	+	152354
chrX	87517748	87670050	ENSG00000102271	0	+	152302
chr5	136213319	136365537	ENSG00000069018	0	-	152218
chr4	17629305	17781512	ENSG00000047662	0	-	152207
chr1	88684221	88836255	ENSG00000065243	0	+	152034
chrX	18675908	18827921	ENSG00000086717	0	+	152013
chr10	49818278	49970203	ENSG00000227345	0	-	151925
chr12	121429096	121581015	ENSG00000089094	0	-	151919
chr15	41621223	41773081	ENSG00000174197	0	+	151858
chr8	36784323	36936128	ENSG00000215262	0	+	151805
chr2	74211603	74363377	ENSG00000264324	0	-	151774
chr12	109116594	109268226	ENSG00000076555	0	+	151632
chr7	136868668	137020255	ENSG00000181072	0	+	151587
chr6	75921114	76072678	ENSG00000112706	0	-	151564
chr16	19555239	19706793	ENSG00000103544	0	+	151554
chr2	148875249	149026759	ENSG00000168280	0	+	151510
chr1	182409191	182560599	ENSG00000121446	0	+	151408
chr5	118837321	118988545	ENSG00000169570	0	-	151224
chr12	122271431	122422632	ENSG00000130779	0	-	151201
chr9	36336395	36487548	ENSG00000137075	0	-	151153
chr13	26254103	26405238	ENSG00000132964	0	+	151135
chr2	8852689	9003813	ENSG00000143797	0	-	151124
chr15	99565416	99716466	ENSG00000068305	0	+	151050
chr2	97113495	97264521	ENSG00000135976	0	+	151026
chr12	12116024	12267012	ENSG00000070018	0	-	150988
chrX	41085634	41236579	ENSG00000124486	0	+	150945
chr2	6917391	7068286	ENSG00000151692	0	+	150895
chr6	125781160	125932030	ENSG00000111912	0	+	150870
chr15	59372692	59523549	ENSG00000157470	0	+	150857
chr17	35713790	35864615	ENSG00000270647	0	+	150825
chr1	56494746	56645301	ENSG00000162407	0	-	150555
chr9	106863096	107013634	ENSG00000148143	0	+	150538
chr7	93424486	93574730	ENSG00000004948	0	-	150244
chr2	227164564	227314792	ENSG00000169031	0	+	150228
chr12	39293227	39443390	ENSG00000139116	0	-	150163
chr9	37919133	38069211	ENSG00000107338	0	-	150078
chr7	37683795	37833788	ENSG00000187037	0	+	149993
chr2	210021422	210171383	ENSG00000144445	0	-	149961
chr7	138831380	138981318	ENSG00000122778	0	-	149938
chr11	44095548	44245429	ENSG00000151348	0	+	149881
chr17	39252643	39402523	ENSG00000108306	0	-	149880
chr1	241652277	241802133	ENSG00000162843	0	+	149856
chr1	200027601	200177424	ENSG00000116833	0	+	149823
chr2	11677594	11827409	ENSG00000134324	0	+	149815
chr3	125225560	125375354	ENSG00000163848	0	-	149794
chr7	17790760	17940501	ENSG00000071189	0	-	149741
chr12	113816737	113966371	ENSG00000122965	0	-	149634
chr8	66712417	66862022	ENSG00000104205	0	+	149605
chr2	98444853	98594390	ENSG00000040933	0	+	149537
chr5	65722195	65871725	ENSG00000123213	0	+	149530
chr7	8113183	8262687	ENSG00000003147	0	-	149504
chr6	47477788	47627263	ENSG00000198087	0	+	149475
chr3	149812707	149962139	ENSG00000082996	0	+	149432
chr2	105744896	105894274	ENSG00000071051	0	+	149378
chr10	96364605	96513918	ENSG00000095587	0	-	149313
chr15	82836945	82986153	ENSG00000103942	0	-	149208
chrX	50202712	50351910	ENSG00000147082	0	+	149198
chr4	139028111	139177218	ENSG00000109381	0	-	149107
chr4	2269581	2418663	ENSG00000159733	0	-	149082
chr4	23755040	23904089	ENSG00000109819	0	-	149049
chr9	109171974	109320964	ENSG00000095203	0	-	148990
chr7	45574139	45723116	ENSG00000164742	0	+	148977
chrX	46912275	47061242	ENSG00000102221	0	+	148967
chr3	108380368	108529322	ENSG00000144821	0	-	148954
chr6	134169245	134318112	ENSG00000118515	0	-	148867
chr15	68578968	68727806	ENSG00000103647	0	+	148838
chr3	161104695	161253532	ENSG00000169251	0	+	148837
chr7	74453789	74602604	ENSG00000006704	0	+	148815
chr1	55066358	55215113	ENSG00000162402	0	-	148755
chr5	141364231	141512979	ENSG00000253485	0	+	148748
chr6	116100848	116249497	ENSG00000178425	0	+	148649
chr4	174829667	174978180	ENSG00000168594	0	+	148513
chr13	33818048	33966558	ENSG00000133119	0	+	148510
chr15	30624493	30772993	ENSG00000187951	0	+	148500
chr1	10032831	10181239	ENSG00000130939	0	+	148408
chr7	36153148	36301543	ENSG00000122547	0	+	148395
chr1	148531384	148679751	ENSG00000270629	0	-	148367
chr17	35578045	35726409	ENSG00000006125	0	+	148364
chr7	135361794	135510127	ENSG00000080802	0	-	148333
chr8	91954966	92103286	ENSG00000079102	0	-	148320
chr7	49773660	49921950	ENSG00000188730	0	+	148290
chr6	70412940	70561174	ENSG00000082269	0	+	148234
chr9	91213814	91361913	ENSG00000148090	0	-	148099
chr3	186930484	187078553	ENSG00000073849	0	+	148069
chr2	189031895	189179879	ENSG00000204262	0	-	147984
chr2	233059966	233207903	ENSG00000168918	0	+	147937
chr8	27311481	27459391	ENSG00000120899	0	+	147910
chr6	131135665	131283535	ENSG00000118507	0	+	147870
chr5	140401907	140549569	ENSG00000254996	0	+	147662
chrX	30827441	30975084	ENSG00000157625	0	-	147643
chr3	47016428	47163967	ENSG00000181555	0	-	147539
chr9	5629024	5776557	ENSG00000107036	0	+	147533
chr12	111452213	111599676	ENSG00000204842	0	-	147463
chr5	55625844	55773194	ENSG00000177058	0	-	147350
chr14	64914484	65061803	ENSG00000125954	0	+	147319
chr1	45343882	45491166	ENSG00000070759	0	-	147284
chr9	104781001	104928237	ENSG00000165029	0	-	147236
chr2	68679600	68826833	ENSG00000163219	0	+	147233
chr7	39950036	40097134	ENSG00000065883	0	+	147098
chr11	82823501	82970584	ENSG00000137509	0	-	147083
chr1	34712736	34859816	ENSG00000163866	0	-	147080
chr3	12287367	12434356	ENSG00000132170	0	+	146989
chr4	3293027	3439913	ENSG00000159788	0	+	146886
chr14	88180102	88326907	ENSG00000100433	0	-	146805
chr1	19338775	19485539	ENSG00000077549	0	-	146764
chr6	104936615	105083332	ENSG00000187772	0	+	146717
chr11	108222483	108369102	ENSG00000149311	0	+	146619
chr17	31391623	31538217	ENSG00000131242	0	+	146594
chr2	223051813	223198399	ENSG00000152049	0	+	146586
chr12	71439769	71586310	ENSG00000139292	0	+	146541
chr14	91271322	91417844	ENSG00000015133	0	-	146522
chr4	168863769	169010275	ENSG00000145439	0	-	146506
chr5	172042072	172188386	ENSG00000072786	0	-	146314
chr6	112108759	112254939	ENSG00000112769	0	-	146180
chr2	31865059	32011230	ENSG00000162959	0	-	146171
chr13	95433603	95579759	ENSG00000134873	0	+	146156
chr3	190514050	190659750	ENSG00000196083	0	+	145700
chr4	158893133	159038760	ENSG00000164123	0	-	145627
chr8	39584488	39730064	ENSG00000168619	0	+	145576
chr12	80792519	80937925	ENSG00000111052	0	-	145406
chr7	129611713	129757082	ENSG00000106459	0	+	145369
chr6	125119048	125264407	ENSG00000111907	0	+	145359
chrX	124227867	124373197	ENSG00000183918	0	+	145330
chr5	171861548	172006873	ENSG00000072803	0	-	145325
chr15	42575658	42720981	ENSG00000159433	0	+	145323
chr5	145936578	146081791	ENSG00000156463	0	+	145213
chr1	52408281	52553487	ENSG00000134744	0	-	145206
chr12	21797400	21942529	ENSG00000069431	0	-	145129
chr6	167826921	167972023	ENSG00000130396	0	+	145102
chr13	44432142	44577147	ENSG00000102804	0	-	145005
chr4	5748083	5893058	ENSG00000072832	0	-	144975
chr16	18417324	18562211	ENSG00000185164	0	-	144887
chr14	70044216	70189070	ENSG00000100678	0	-	144854
chr6	55434368	55579214	ENSG00000146151	0	-	144846
chr2	25733752	25878516	ENSG00000143970	0	-	144764
chr13	43883799	44028526	ENSG00000281883	0	+	144727
chr7	31514070	31658720	ENSG00000180347	0	+	144650
chr15	100400394	100544995	ENSG00000154227	0	-	144601
chr16	68084750	68229259	ENSG00000072736	0	+	144509
chr1	207496146	207640647	ENSG00000203710	0	+	144501
chr5	80111650	80256079	ENSG00000164300	0	-	144429
chr15	68054178	68198603	ENSG00000033800	0	+	144425
chr6	142301853	142446266	ENSG00000112414	0	+	144413
chr6	159969098	160113507	ENSG00000197081	0	+	144409
chr6	7107596	7251980	ENSG00000124782	0	+	144384
chr8	80967809	81112068	ENSG00000076641	0	-	144259
chr16	12659798	12804017	ENSG00000103381	0	-	144219
chr13	23180951	23325165	ENSG00000102683	0	+	144214
chr2	149329984	149474148	ENSG00000187123	0	+	144164
chr5	140868182	141012344	ENSG00000249158	0	+	144162
chr8	26514021	26658178	ENSG00000092964	0	+	144157
chr1	91260765	91404869	ENSG00000162669	0	-	144104
chr6	161129978	161274061	ENSG00000026652	0	-	144083
chr5	16473037	16617058	ENSG00000154153	0	-	144021
chr2	181536675	181680665	ENSG00000188452	0	-	143990
chr2	37923186	38067142	ENSG00000115841	0	+	143956
chr14	59919712	60063559	ENSG00000131951	0	+	143847
chr11	7513297	7657127	ENSG00000166387	0	+	143830
chr2	3703591	3847411	ENSG00000214866	0	+	143820
chr9	4984389	5128183	ENSG00000096968	0	+	143794
chr11	16613131	16756881	ENSG00000110696	0	+	143750
chr9	15163621	15307360	ENSG00000155158	0	-	143739
chr6	111087502	111231194	ENSG00000112394	0	+	143692
chr5	75368485	75512138	ENSG00000113163	0	-	143653
chr6	63635819	63779336	ENSG00000118482	0	+	143517
chr1	223220818	223364202	ENSG00000143502	0	-	143384
chr5	37106227	37249428	ENSG00000197603	0	-	143201
chr3	52903571	53046750	ENSG00000163935	0	-	143179
chr2	148644439	148787568	ENSG00000135999	0	+	143129
chr9	19230434	19373545	ENSG00000137145	0	+	143111
chr2	38981395	39124345	ENSG00000115904	0	-	142950
chr10	23201915	23344845	ENSG00000179133	0	-	142930
chr14	77116567	77259495	ENSG00000165548	0	+	142928
chr3	160256985	160399880	ENSG00000068885	0	-	142895
chr5	141370263	141512979	ENSG00000262209	0	+	142716
chr6	134960377	135103056	ENSG00000112339	0	-	142679
chr14	50418500	50561126	ENSG00000012983	0	-	142626
chr2	163593395	163736012	ENSG00000182263	0	-	142617
chr9	72114594	72257193	ENSG00000119125	0	+	142599
chr14	55559071	55701526	ENSG00000126777	0	+	142455
chr2	98793845	98936259	ENSG00000196872	0	-	142414
chr6	78935866	79078236	ENSG00000146247	0	-	142370
chr11	72292424	72434680	ENSG00000162129	0	-	142256
chr12	65824130	65966295	ENSG00000149948	0	+	142165
chr15	81007032	81149175	ENSG00000156206	0	+	142143
chr8	28348286	28490318	ENSG00000214050	0	-	142032
chr16	19716455	19858467	ENSG00000174628	0	+	142012
chr12	120762509	120904371	ENSG00000157837	0	-	141862
chr11	17208152	17349974	ENSG00000070081	0	+	141822
chr1	35930717	36072500	ENSG00000126070	0	+	141783
chr5	79372635	79514217	ENSG00000152413	0	-	141582
chr11	74807738	74949200	ENSG00000166435	0	-	141462
chr3	142306606	142448062	ENSG00000114127	0	-	141456
chr3	50362798	50504244	ENSG00000007402	0	-	141446
chr7	996985	1138260	ENSG00000146540	0	-	141275
chrX	65366637	65507887	ENSG00000102053	0	+	141250
chr6	34284886	34426071	ENSG00000270800	0	-	141185
chr2	203394344	203535410	ENSG00000173166	0	-	141066
chr3	167240286	167381346	ENSG00000169064	0	-	141060
chr4	88090263	88231322	ENSG00000118777	0	-	141059
chr6	97142160	97283217	ENSG00000146263	0	-	141057
chr12	95076748	95217482	ENSG00000180263	0	-	140734
chr5	39284261	39424868	ENSG00000113600	0	-	140607
chr1	114854802	114995370	ENSG00000198765	0	+	140568
chr3	52545351	52685917	ENSG00000163939	0	-	140566
chr5	41730064	41870519	ENSG00000083720	0	-	140455
chr2	54972186	55112621	ENSG00000115310	0	-	140435
chr2	66433451	66573869	ENSG00000143995	0	+	140418
chrX	9024231	9164639	ENSG00000177138	0	-	140408
chr10	45454584	45594906	ENSG00000165406	0	-	140322
chr6	15522800	15663058	ENSG00000047579	0	-	140258
chr1	167935782	168075843	ENSG00000143164	0	+	140061
chr10	24583608	24723668	ENSG00000107863	0	-	140060
chr4	78776341	78916372	ENSG00000138756	0	+	140031
chr2	202874781	203014798	ENSG00000138442	0	-	140017
chr8	31033800	31173769	ENSG00000165392	0	+	139969
chr7	30752136	30892081	ENSG00000254959	0	+	139945
chr16	75293697	75433485	ENSG00000153774	0	-	139788
chrX	77910655	78050395	ENSG00000165240	0	+	139740
chr15	48823734	48963444	ENSG00000185634	0	-	139710
chr1	67092164	67231853	ENSG00000203963	0	-	139689
chr10	97153044	97292637	ENSG00000269891	0	-	139593
chr16	69565093	69704666	ENSG00000102908	0	+	139573
chr5	148923638	149063163	ENSG00000169247	0	-	139525
chr14	102362962	102502481	ENSG00000196663	0	+	139519
chr3	124761947	124901418	ENSG00000082781	0	-	139471
chr1	196819744	196959210	ENSG00000276911	0	+	139466
chr12	24810021	24949459	ENSG00000060982	0	-	139438
chr2	157736443	157875862	ENSG00000115170	0	-	139419
chr15	99251361	99390729	ENSG00000168904	0	+	139368
chr3	130345515	130484844	ENSG00000172752	0	+	139329
chr11	45095805	45235110	ENSG00000019485	0	+	139305
chr10	109996367	110135565	ENSG00000148700	0	+	139198
chr17	14069495	14208677	ENSG00000006695	0	+	139182
chr2	20684013	20823130	ENSG00000118961	0	-	139117
chr5	141373913	141512979	ENSG00000253731	0	+	139066
chr3	141228725	141367753	ENSG00000155893	0	+	139028
chr4	105708777	105847728	ENSG00000138780	0	+	138951
chr4	186587782	186726722	ENSG00000083857	0	-	138940
chr11	78435960	78574874	ENSG00000137513	0	-	138914
chr4	158769137	158908049	ENSG00000052795	0	+	138912
chr3	63864556	64003462	ENSG00000163635	0	+	138906
chr9	95875700	96014571	ENSG00000182150	0	+	138871
chrX	80670853	80809688	ENSG00000165288	0	-	138835
chr11	67119268	67258087	ENSG00000173120	0	+	138819
chr11	14504873	14643635	ENSG00000129084	0	-	138762
chr5	112707497	112846239	ENSG00000134982	0	+	138742
chr5	131806992	131945698	ENSG00000239642	0	-	138706
chr2	241356242	241494841	ENSG00000006607	0	+	138599
chr17	4004444	4143020	ENSG00000074755	0	-	138576
chr4	152779936	152918463	ENSG00000164144	0	+	138527
chr3	43286511	43424764	ENSG00000163788	0	+	138253
chr11	58905397	59043527	ENSG00000166840	0	+	138130
chr5	140401813	140539856	ENSG00000131503	0	+	138043
chr14	95181939	95319906	ENSG00000165959	0	-	137967
chr4	165070607	165208549	ENSG00000170088	0	-	137942
chr14	102592660	102730576	ENSG00000089902	0	+	137916
chr4	143336761	143474568	ENSG00000109458	0	+	137807
chr7	2906140	3043945	ENSG00000198286	0	-	137805
chr1	4654731	4792534	ENSG00000196581	0	+	137803
chr6	117288299	117425855	ENSG00000047936	0	-	137556
chr7	27525441	27662995	ENSG00000106049	0	-	137554
chr13	76992077	77129589	ENSG00000283208	0	+	137512
chr15	40978879	41116354	ENSG00000128908	0	-	137475
chr4	42893266	43030658	ENSG00000215203	0	+	137392
chr10	102245531	102382899	ENSG00000107862	0	+	137368
chr5	33987173	34124528	ENSG00000273294	0	-	137355
chr9	89360786	89498130	ENSG00000187764	0	-	137344
chr12	14365631	14502935	ENSG00000171681	0	+	137304
chr11	107790990	107928293	ENSG00000110660	0	-	137303
chr7	134127298	134264591	ENSG00000155530	0	+	137293
chr6	10492222	10629368	ENSG00000111846	0	+	137146
chr4	165361193	165498320	ENSG00000109472	0	+	137127
chr5	140875301	141012344	ENSG00000251664	0	+	137043
chr7	155644450	155781485	ENSG00000184863	0	+	137035
chr6	34018644	34155622	ENSG00000124493	0	-	136978
chr7	55436055	55572988	ENSG00000154978	0	-	136933
chr2	233636453	233773305	ENSG00000242515	0	+	136852
chr1	89633071	89769903	ENSG00000171488	0	+	136832
chr3	154121002	154257827	ENSG00000114790	0	+	136825
chr8	104330323	104467053	ENSG00000147647	0	-	136730
chr11	68312608	68449275	ENSG00000162337	0	+	136667
chr1	236348256	236484914	ENSG00000186197	0	+	136658
chr3	179652754	179789401	ENSG00000058056	0	+	136647
chr7	112206587	112343096	ENSG00000198839	0	+	136509
chr5	38937918	39074408	ENSG00000164327	0	-	136490
chr2	222424516	222560948	ENSG00000163082	0	+	136432
chr2	17663811	17800242	ENSG00000163029	0	-	136431
chr5	126360131	126496494	ENSG00000155324	0	+	136363
chr1	220528182	220664461	ENSG00000116141	0	+	136279
chr9	23690103	23826337	ENSG00000107105	0	-	136234
chr1	44850521	44986722	ENSG00000070785	0	-	136201
chr11	110577041	110713189	ENSG00000137727	0	-	136148
chrX	105822542	105958610	ENSG00000123572	0	+	136068
chr13	39655626	39791665	ENSG00000133103	0	+	136039
chr11	43358931	43494933	ENSG00000052841	0	+	136002
chr10	17318382	17454330	ENSG00000148488	0	-	135948
chr1	19074505	19210276	ENSG00000127481	0	-	135771
chr1	32465056	32600792	ENSG00000254553	0	+	135736
chr10	77790790	77926526	ENSG00000151208	0	-	135736
chr5	146203549	146339251	ENSG00000275740	0	+	135702
chr8	86342737	86478420	ENSG00000123124	0	+	135683
chr9	93184915	93320572	ENSG00000165238	0	+	135657
chr15	68296532	68432162	ENSG00000137809	0	-	135630
chr5	114360944	114496500	ENSG00000080709	0	+	135556
chrX	72578813	72714319	ENSG00000067177	0	-	135506
chr13	49308649	49444126	ENSG00000102547	0	-	135477
chr5	31193749	31329146	ENSG00000113361	0	+	135397
chr9	100442270	100577636	ENSG00000251349	0	+	135366
chr4	140620764	140756120	ENSG00000109436	0	-	135356
chrX	7219455	7354810	ENSG00000101846	0	+	135355
chr7	98877932	99013243	ENSG00000196367	0	+	135311
chr12	82223680	82358805	ENSG00000133773	0	-	135125
chr9	21802542	21937651	ENSG00000099810	0	+	135109
chr14	77800082	77935012	ENSG00000063761	0	+	134930
chr1	2050469	2185395	ENSG00000067606	0	+	134926
chr11	15112423	15247208	ENSG00000188487	0	+	134785
chr12	101877350	102012130	ENSG00000136048	0	+	134780
chr4	102885047	103019739	ENSG00000164037	0	-	134692
chr1	185157079	185291765	ENSG00000116668	0	+	134686
chr8	1823975	1958641	ENSG00000104728	0	+	134666
chr1	68098472	68233120	ENSG00000116729	0	-	134648
chr9	112040784	112175408	ENSG00000106868	0	-	134624
chr17	16217190	16351797	ENSG00000108474	0	+	134607
chr4	119494394	119628991	ENSG00000138735	0	-	134597
chr2	232878685	233013272	ENSG00000066248	0	-	134587
chr2	202635187	202769757	ENSG00000138439	0	+	134570
chr5	72955980	73090522	ENSG00000157107	0	+	134542
chr12	104215778	104350305	ENSG00000198431	0	+	134527
chr3	157543245	157677749	ENSG00000174899	0	+	134504
chr1	30931505	31065991	ENSG00000134644	0	-	134486
chr10	132808391	132942823	ENSG00000171811	0	-	134432
chr14	96797303	96931722	ENSG00000100749	0	+	134419
chr8	55879812	56014168	ENSG00000254087	0	+	134356
chr10	99875576	100009919	ENSG00000107554	0	-	134343
chr15	50552472	50686815	ENSG00000092439	0	-	134343
chr1	153789029	153923360	ENSG00000143614	0	-	134331
chr15	65658045	65792293	ENSG00000174485	0	-	134248
chr4	64275256	64409468	ENSG00000205678	0	-	134212
chr1	44221069	44355260	ENSG00000117419	0	-	134191
chr3	127689061	127823250	ENSG00000074416	0	-	134189
chr8	92883529	93017673	ENSG00000205133	0	-	134144
chr1	83865027	83999150	ENSG00000137941	0	-	134123
chr12	132822186	132956304	ENSG00000072609	0	-	134118
chr6	109691311	109825428	ENSG00000112367	0	+	134117
chr5	304175	438291	ENSG00000063438	0	+	134116
chr6	129576131	129710225	ENSG00000146376	0	-	134094
chr4	48135782	48269864	ENSG00000135605	0	-	134082
chr14	102777475	102911500	ENSG00000131323	0	+	134025
chr1	84999146	85133138	ENSG00000162643	0	+	133992
chr17	45894381	46028334	ENSG00000186868	0	+	133953
chr9	69121263	69255208	ENSG00000119139	0	+	133945
chr4	105145874	105279816	ENSG00000168769	0	+	133942
chr8	67062425	67196263	ENSG00000104218	0	+	133838
chr10	68560655	68694482	ENSG00000138336	0	+	133827
chr12	69825303	69959097	ENSG00000166268	0	+	133794
chr4	103586030	103719816	ENSG00000169836	0	-	133786
chr15	74202704	74336472	ENSG00000140481	0	+	133768
chr1	222872270	223005995	ENSG00000154309	0	+	133725
chr5	56099677	56233359	ENSG00000164512	0	-	133682
chr12	62466816	62600479	ENSG00000061987	0	+	133663
chr8	42896931	43030539	ENSG00000168172	0	+	133608
chr14	94146127	94279735	ENSG00000119698	0	+	133608
chr14	64746282	64879883	ENSG00000070182	0	-	133601
chr12	42456756	42590355	ENSG00000139174	0	-	133599
chr2	72942035	73075619	ENSG00000144040	0	-	133584
chr10	94402503	94535930	ENSG00000108239	0	+	133427
chr5	38474962	38608354	ENSG00000113594	0	-	133392
chr12	95657806	95791152	ENSG00000074527	0	-	133346
chrX	18989308	19122637	ENSG00000173698	0	-	133329
chr9	71683365	71816690	ENSG00000135048	0	-	133325
chr3	42809482	42942792	ENSG00000240747	0	+	133310
chr1	64833228	64966504	ENSG00000162434	0	-	133276
chr1	246945546	247078811	ENSG00000135747	0	-	133265
chr12	7346684	7479897	ENSG00000177675	0	-	133213
chr13	19958669	20091829	ENSG00000121741	0	+	133160
chr12	132196371	132329349	ENSG00000182870	0	-	132978
chr2	239892449	240025402	ENSG00000130414	0	-	132953
chr13	50711007	50843939	ENSG00000186047	0	-	132932
chr10	120456953	120589855	ENSG00000203805	0	+	132902
chr2	159771850	159904710	ENSG00000248672	0	-	132860
chr9	110668770	110801620	ENSG00000030304	0	+	132850
chr1	46043660	46176488	ENSG00000278139	0	-	132828
chr6	160531482	160664259	ENSG00000198670	0	-	132777
chr13	98445184	98577940	ENSG00000102572	0	-	132756
chr10	48306638	48439360	ENSG00000107643	0	+	132722
chr14	30893798	31026401	ENSG00000196792	0	-	132603
chr15	82130229	82262763	ENSG00000140598	0	-	132534
chr6	73695784	73828316	ENSG00000156535	0	+	132532
chr4	184088705	184221230	ENSG00000164303	0	-	132525
chrX	123600560	123733056	ENSG00000125676	0	-	132496
chrX	150766336	150898816	ENSG00000102181	0	-	132480
chr2	237967013	238099412	ENSG00000258984	0	+	132399
chr13	31199935	31332276	ENSG00000187676	0	+	132341
chr15	68930524	69062743	ENSG00000255346	0	+	132219
chr2	55287841	55419921	ENSG00000115355	0	-	132080
chr11	33542071	33674102	ENSG00000110427	0	+	132031
chr10	60869437	61001440	ENSG00000072422	0	-	132003
chr1	67701465	67833467	ENSG00000172380	0	-	132002
chr2	202073288	202205203	ENSG00000182329	0	+	131915
chr10	69269983	69401882	ENSG00000156515	0	+	131899
chr1	193122016	193253901	ENSG00000134371	0	+	131885
chr6	104728092	104859919	ENSG00000085382	0	-	131827
chr2	201487424	201619178	ENSG00000155754	0	-	131754
chr5	31400496	31532196	ENSG00000113360	0	-	131700
chr4	15469864	15601557	ENSG00000048342	0	+	131693
chr3	32238678	32370325	ENSG00000170293	0	+	131647
chr12	4720340	4851927	ENSG00000130035	0	+	131587
chr15	55611545	55743090	ENSG00000166450	0	-	131545
chr12	128853426	128984968	ENSG00000151948	0	+	131542
chr11	107326344	107457844	ENSG00000152404	0	-	131500
chr15	67063762	67195195	ENSG00000166949	0	+	131433
chr4	144967111	145098541	ENSG00000164162	0	-	131430
chr1	58415383	58546802	ENSG00000162600	0	-	131419
chr5	116443615	116574934	ENSG00000092421	0	-	131319
